vintage,quarter,file_type,filename,row_count
2005,Q1,origination,orig_2005Q1.txt,338336
2005,Q1,performance,perf_2005Q1.txt,27132644
2005,Q2,origination,orig_2005Q2.txt,387869
2005,Q2,performance,perf_2005Q2.txt,30437350
2005,Q3,origination,orig_2005Q3.txt,508343
2005,Q3,performance,perf_2005Q3.txt,40527616
2005,Q4,origination,orig_2005Q4.txt,376907
2005,Q4,performance,perf_2005Q4.txt,27830526
2006,Q1,origination,orig_2006Q1.txt,298574
2006,Q1,performance,perf_2006Q1.txt,20622024
2006,Q2,origination,orig_2006Q2.txt,308208
2006,Q2,performance,perf_2006Q2.txt,19214632
2006,Q3,origination,orig_2006Q3.txt,283975
2006,Q3,performance,perf_2006Q3.txt,17073842
2006,Q4,origination,orig_2006Q4.txt,302787
2006,Q4,performance,perf_2006Q4.txt,19578264
2007,Q1,origination,orig_2007Q1.txt,302331
2007,Q1,performance,perf_2007Q1.txt,19432995
2007,Q2,origination,orig_2007Q2.txt,354055
2007,Q2,performance,perf_2007Q2.txt,22286961
2007,Q3,origination,orig_2007Q3.txt,284980
2007,Q3,performance,perf_2007Q3.txt,15827144
2007,Q4,origination,orig_2007Q4.txt,296826
2007,Q4,performance,perf_2007Q4.txt,16931624
2008,Q1,origination,orig_2008Q1.txt,421635
2008,Q1,performance,perf_2008Q1.txt,23820317
2008,Q2,origination,orig_2008Q2.txt,370982
2008,Q2,performance,perf_2008Q2.txt,19514148
2008,Q3,origination,orig_2008Q3.txt,221752
2008,Q3,performance,perf_2008Q3.txt,9664205
2008,Q4,origination,orig_2008Q4.txt,218777
2008,Q4,performance,perf_2008Q4.txt,9886332
2012,Q1,origination,orig_2012Q1.txt,414792
2012,Q1,performance,perf_2012Q1.txt,35223221
2012,Q2,origination,orig_2012Q2.txt,462380
2012,Q2,performance,perf_2012Q2.txt,40577180
2012,Q3,origination,orig_2012Q3.txt,563453
2012,Q3,performance,perf_2012Q3.txt,52380804
2012,Q4,origination,orig_2012Q4.txt,592713
2012,Q4,performance,perf_2012Q4.txt,56388877
2017,Q1,origination,orig_2017Q1.txt,290601
2017,Q1,performance,perf_2017Q1.txt,16945198
2017,Q2,origination,orig_2017Q2.txt,337270
2017,Q2,performance,perf_2017Q2.txt,18772350
2017,Q3,origination,orig_2017Q3.txt,391807
2017,Q3,performance,perf_2017Q3.txt,21932158
2017,Q4,origination,orig_2017Q4.txt,360105
2017,Q4,performance,perf_2017Q4.txt,19761819
2005,ALL,origination,sample_orig_2005.txt,50000
2005,ALL,performance,sample_perf_2005.txt,3877176
2006,ALL,origination,sample_orig_2006.txt,50000
2006,ALL,performance,sample_perf_2006.txt,3203499
2007,ALL,origination,sample_orig_2007.txt,50000
2007,ALL,performance,sample_perf_2007.txt,3012061
2008,ALL,origination,sample_orig_2008.txt,50000
2008,ALL,performance,sample_perf_2008.txt,2456504
2012,ALL,origination,sample_orig_2012.txt,50000
2012,ALL,performance,sample_perf_2012.txt,4510559
2017,ALL,origination,sample_orig_2017.txt,50000
2017,ALL,performance,sample_perf_2017.txt,2800219
